講義,頁碼,標題,垂直超出px,水平超出px,嚴重度,推定主因,圖片數,表格列數,程式碼輸出行數
ch3-zh,47,分面點圖,0,1,—,橫向溢出/裁切,1,,
ch4,6,Included Packages (1): Infrastructure,159,0,嚴重,表格列數過多,0,14,0
ch4,7,Included Packages (2): Statistics and Modeling,478,0,嚴重,表格列數過多,0,16,0
ch4,18,The Package-Management Vocabulary,52,0,中等,表格列數過多,0,10,0
ch4,23,Creating a Package Directory: package.skeleton,198,0,嚴重,表格列數過多,0,8,3
ch4-zh,6,內附套件（一）：基礎建設,122,0,中等,表格列數過多,0,14,0
ch4-zh,7,內附套件（二）：統計與建模,329,0,嚴重,表格列數過多,0,16,0
ch5,8,Why Care That Everything Is a Function Call?,70,0,中等,文字量過多,0,0,15
ch5,22,.Internal and .Primitive,118,0,中等,程式碼/輸出過長,0,0,23
ch5,25,The Parse Tree,223,0,嚴重,程式碼/輸出過長,0,0,24
ch5,26,"Sugar Exposed, and deparse",209,0,嚴重,程式碼/輸出過長,0,0,22
ch5-zh,8,為什麼要知道「一切都是函式呼叫」？,34,0,輕微,文字量過多,0,0,15
ch5-zh,22,.Internal 與 .Primitive,117,0,中等,程式碼/輸出過長,0,0,23
ch5-zh,25,剖析樹,185,0,嚴重,程式碼/輸出過長,0,0,24
ch5-zh,26,語法糖現形，以及 deparse,209,0,嚴重,程式碼/輸出過長,0,0,22
ch6,4,Numeric Vectors,49,0,輕微,文字量過多,0,0,16
ch6,14,Order of Operations,538,0,嚴重,表格列數過多,0,20,0
ch6,29,Looping Extensions: iterators and foreach,351,0,嚴重,程式碼/輸出過長,0,0,23
ch6,31,The Four Access Operators,83,0,中等,文字量過多,0,5,0
ch6,34,Integer Indexing of Matrices,80,0,中等,程式碼/輸出過長,0,0,23
ch6,38,Indexing by Name,101,0,中等,文字量過多,0,0,21
ch6,41,Readable Code Is Maintainable Code,48,0,輕微,文字量過多,0,0,0
ch6-zh,4,數值向量,49,0,輕微,文字量過多,0,0,16
ch6-zh,14,運算順序,502,0,嚴重,表格列數過多,0,20,0
ch6-zh,29,迴圈的擴充：iterators 與 foreach,274,0,嚴重,程式碼/輸出過長,0,0,23
ch6-zh,34,矩陣的整數索引,43,0,輕微,程式碼/輸出過長,0,0,23
ch6-zh,38,以名稱索引,65,0,中等,文字量過多,0,0,21
ch7,5,Primitive Types (2): Compound Objects,71,0,中等,文字量過多,0,5,0
ch7,6,Primitive Types (3): Special and Language,400,0,嚴重,表格列數過多,0,8,0
ch7,7,Primitive Types (4): Functions and Internal,218,0,嚴重,表格列數過多,0,8,0
ch7,20,Data Frames,57,0,中等,文字量過多,0,0,20
ch7,23,Formula Vocabulary,254,0,嚴重,表格列數過多,0,10,0
ch7,24,Time Series,213,0,嚴重,表格列數過多,0,8,7
ch7,25,A Real Time Series: Turkey Prices,97,0,中等,程式碼/輸出過長,0,0,22
ch7,30,Properties Attached to Objects,35,0,輕微,表格列數過多,0,9,0
ch7-zh,6,基本型別（三）：特殊與語言物件,178,0,嚴重,表格列數過多,0,8,0
ch7-zh,23,公式詞彙表,182,0,嚴重,表格列數過多,0,10,0
ch7-zh,24,時間序列,104,0,中等,表格列數過多,0,8,7
ch7-zh,25,真實的時間序列：火雞價格,97,0,中等,程式碼/輸出過長,0,0,22
ch8,8,The Environment Toolbox,289,0,嚴重,表格列數過多,0,13,0
ch8,13,The Call Stack,301,0,嚴重,表格列數過多,0,10,0
ch8-zh,8,環境工具箱,110,0,中等,表格列數過多,0,13,0
ch8-zh,13,呼叫堆疊,157,0,嚴重,表格列數過多,0,10,0
ch9,14,args and formals,174,0,嚴重,程式碼/輸出過長,0,0,24
ch9-zh,14,args 與 formals,137,0,中等,程式碼/輸出過長,0,0,24
ch10,17,setClass: the Full Signature,305,0,嚴重,表格列數過多,0,11,3
ch10,20,"Working with Objects, and Coercion",4,0,輕微,文字量過多,0,5,0
ch10,22,Managing Generics and Methods,34,0,輕微,表格列數過多,0,9,0
ch10,23,Basic Classes,48,0,輕微,文字量過多,0,7,0
ch10,25,S3 Classes Are Just Attributes,231,0,嚴重,文字量過多,0,0,19
ch10-zh,17,setClass 完整簽名,87,0,中等,表格列數過多,0,11,3
ch10-zh,23,基本類別,12,0,輕微,文字量過多,0,7,0
ch10-zh,25,S3 類別不過是屬性,158,0,嚴重,文字量過多,0,0,19
ch10-zh,28,S4 裡用 S3：setOldClass,0,3,—,橫向溢出/裁切,0,,
ch11,9,save: the Full Signature,111,0,中等,表格列數過多,0,9,2
ch11,13,read.table Arguments (1),107,0,中等,表格列數過多,0,11,0
ch11,18,Fixed-Width Files: read.fwf,257,0,嚴重,表格列數過多,0,8,2
